	GameID	LeagueIndex	Age	HoursPerWeek	TotalHours	APM	SelectByHotkeys	AssignToHotkeys	UniqueHotkeys	MinimapAttacks	MinimapRightClicks	NumberOfPACs	GapBetweenPACs	ActionLatency	ActionsInPAC	TotalMapExplored	WorkersMade	UniqueUnitsMade	ComplexUnitsMade	ComplexAbilityUsed	MaxTimeStamp
38	7666	1	29.0	8.0	1000.0	54.4284	0.00024055	0.000137457	0.0	3.44e-05	0.00045819	0.001489118	45.3023	109.1385	7.0846	0.000183276	0.00063001	6.87e-05	0.0	0.0	87300
42	7520	4	24.0	10.0	500.0	130.4184	0.007267624	0.000493916	3.14e-05	0.000297918	0.000454717	0.003402534	46.5589	57.9447	5.1014	0.000352797	0.00073695	4.7e-05	0.000109759	0.00024304	127552
46	2276	4	19.0	8.0	400.0	70.9998	0.000849185	0.000186821	5.1e-05	0.000118886	0.000484035	0.002657948	58.4487	76.3834	4.7987	0.000339674	0.00058594	5.1e-05	0.0	0.0	117760
50	5200	3	19.0	28.0	130.0	145.332	0.002261125	0.000263567	4.16e-05	2.77e-05	0.000221951	0.003634447	32.7969	50.8244	7.0496	0.000249695	0.0011652	8.32e-05	0.0	2.77e-05	72088
51	5702	5	24.0	16.0	300.0	195.8406	0.009664551	0.000517941	3.31e-05	1.1e-05	0.00015428	0.004837785	18.7763	35.5444	5.6469	0.0002755	0.0010249	7.71e-05	0.0003306	0.00028652	90744
54	316	5	20.0	18.0	770.0	193.6086	0.007317992	0.000652098	0.000101438	0.000101438	0.000579643	0.005303733	17.9945	39.1803	5.6421	0.00040575	0.0028692	8.69e-05	0.0	0.0	69008
55	1337	4	23.0	8.0	200.0	85.7502	0.002357352	0.000361956	9.28e-06	7.42e-05	0.000232023	0.002904926	64.3718	64.6518	5.2109	0.000296989	0.0016891	8.35e-05	0.0	0.0	107748
56	7831	3	16.0	6.0	600.0	101.0802	0.000311966	8.21e-05	4.93e-05	0.0	0.000738868	0.002889794	37.44	57.6818	6.4034	0.000295547	0.0015106	9.85e-05	0.0	0.0	60904
60	7847	3	25.0	10.0	100.0	124.8396	0.007780226	0.000493436	9.18e-05	3.44e-05	0.000321307	0.003178647	33.5507	66.1661	5.0	0.00024098	0.00094097	0.000103277	0.0	0.00044754	87144
61	2642	6	19.0	14.0	600.0	129.6288	0.002696456	0.00033268	5.25e-05	0.000175095	0.000507774	0.005165289	35.3605	44.2576	3.9898	0.000542793	0.0019611	0.000122566	0.0	7e-05	57112
62	7721	6	22.0	20.0	400.0	170.8218	0.009873562	0.000603779	2.37e-05	8.29e-05	0.000426197	0.00474736	24.09	46.414	4.7556	0.000213098	0.00088791	9.47e-05	0.0	0.0	84468
63	8492	6	24.0	20.0	800.0	112.038	0.002275817	0.000251227	8.87e-05	0.000133002	0.000339895	0.003325058	40.2321	58.8444	5.4356	0.000221671	0.0019359	0.000103446	0.0	0.0	67668
65	611	6	21.0	42.0	1260.0	143.7696	0.003326713	0.000993049	9.93e-05	0.000215161	0.000943396	0.004170804	21.8167	45.7778	5.8532	0.000281364	0.00066203	0.000148957	0.0	0.0	60420
66	8473	6	17.0	28.0	1500.0	122.6004	0.004692686	0.000829804	5.72e-05	1.43e-05	4.29e-05	0.005293579	31.1003	40.227	3.4703	0.00032906	0.0013162	0.000100149	0.0	0.00057228	69896
67	1093	2	18.0	20.0	450.0	84.024	0.000300508	9.02e-05	3.76e-05	2.25e-05	0.000458274	0.00298254	42.9899	71.3854	5.0579	0.000165279	0.00034558	4.51e-05	0.0	0.0	133108
72	3261	5	17.0	24.0	400.0	105.0756	0.002092371	0.00061347	5.48e-05	0.0	0.00029578	0.003691775	36.4762	58.457	4.997	0.000273871	0.0010407	9.86e-05	0.000262916	0.00050392	91284
73	7851	5	21.0	10.0	430.0	122.2194	0.002325581	0.000554726	6.4e-05	9.6e-05	0.000842757	0.004085769	22.2723	50.5274	5.0914	0.000213356	0.00088543	6.4e-05	0.0	9.6e-05	93740
74	6309	6	23.0	2.0	1000.0	173.358	0.007949665	0.000470952	7.54e-05	0.000282571	0.000169543	0.003258986	29.3953	48.1618	7.6127	0.000244895	0.0014317	9.42e-05	0.0	0.00043328	53084
75	5153	2	21.0	20.0	600.0	83.4846	0.00485062	0.000508609	1.88e-05	9.42e-06	0.000207211	0.002505369	29.4491	77.8797	4.5263	0.000207211	0.00064989	9.42e-05	0.000113024	0.00032024	106172
78	56	4	30.0	10.0	200.0	69.9612	0.001101091	0.00033557	4.19e-05	0.000293624	0.000461409	0.002925755	44.6475	75.3548	4.043	0.000230705	0.00074455	6.29e-05	0.0	0.00018876	95360
79	7893	4	23.0	28.0	500.0	80.6748	0.002550538	0.000283393	4.72e-05	3.15e-05	6.3e-05	0.004061969	45.0428	64.5581	3.0155	0.000267649	0.00069274	0.000110208	9.45e-05	4.72e-05	63516
81	7991	5	27.0	10.0	700.0	222.7338	0.009558152	0.000543256	4.72e-05	6.3e-05	0.001480175	0.003511479	21.6449	41.5516	9.1076	0.000212578	0.0010471	4.72e-05	0.0	7.87e-06	127012
82	7806	3	21.0	6.0	300.0	134.6472	0.003024631	0.000541872	7.88e-05	7.88e-05	7.88e-05	0.003940887	22.8972	49.82	5.67	0.000216749	0.0013399	7.88e-05	0.000128079	0.00026601	101500
83	5339	4	27.0	4.0	600.0	95.0778	0.001285903	0.000125176	1.14e-05	4.55e-05	5.69e-05	0.00310665	43.2059	64.9524	5.3956	0.000238973	0.00063726	9.1e-05	0.0	0.0	87876
84	8137	4	18.0	14.0	700.0	154.9362	0.00313734	0.00084499	5.02e-05	0.0	2.51e-05	0.004710193	28.5196	46.6643	5.6021	0.000250987	0.00082826	6.69e-05	0.0	5.86e-05	119528
86	5351	5	26.0	6.0	200.0	147.4176	0.005108594	0.000248132	0.000102172	0.0	0.000744395	0.004729099	28.9783	48.0	4.9228	0.000452475	0.001372	0.000102172	8.76e-05	0.00010217	68512
88	7760	1	17.0	4.0	24.0	48.879	0.000400282	0.00025618	0.00012809	4.8e-05	8.01e-05	0.00238568	55.973	105.0201	3.8255	0.000240169	0.0007045	9.61e-05	9.61e-05	3.2e-05	62456
89	1905	3	16.0	8.0	200.0	116.4156	0.002131656	0.000298134	4.47e-05	0.0	2.98e-05	0.003816111	28.3451	47.5938	5.1211	0.000342854	0.00068571	0.000104347	0.0	0.0	67084
90	7103	6	21.0	16.0	730.0	134.091	0.003698043	0.000468419	0.000110941	2.47e-05	0.000862877	0.004215768	38.3812	44.117	5.117	0.00030817	0.00071495	8.63e-05	0.0	0.0	81124
91	281	5	23.0	20.0	1300.0	110.7312	0.003174056	0.000395489	6.08e-05	1.01e-05	0.000253519	0.004360524	31.8228	48.1395	4.1279	0.0002738	0.00057802	7.1e-05	0.000324504	0.00020282	98612
93	4129	3	19.0	16.0	300.0	80.3436	0.002292438	0.000429126	4.52e-05	0.000214563	0.000734032	0.00290225	62.2969	83.144	4.677	0.000248442	0.00071145	5.65e-05	0.0	0.0	88552
94	7886	4	18.0	20.0	750.0	148.923	0.008679659	0.000387197	3.23e-05	1.61e-05	0.000177465	0.003016908	42.9677	61.7968	6.5027	0.000290398	0.0011455	0.000112932	0.0	0.0001452	61984
95	7887	2	24.0	36.0	450.0	85.9146	0.000992613	0.000300092	0.00011542	3.46e-05	0.000265466	0.003462604	84.6823	64.3867	4.3	0.000300092	0.0010388	8.08e-05	0.0	0.0	86640
96	5101	4	18.0	12.0	900.0	101.6064	0.001487588	0.000161076	4.74e-05	5.69e-05	0.000521129	0.003467879	40.8986	63.9126	4.8989	0.000246352	0.00043585	6.63e-05	0.0	0.0	105540
99	7497	4	26.0	24.0	990.0	249.021	0.032451728	0.00026367	0.000101412	0.0	0.000283953	0.003671102	43.7778	65.547	3.9006	0.00026367	0.00089242	0.000141976	0.0	2.03e-05	49304
100	4259	2	19.0	14.0	100.0	79.641	0.001365099	0.000373606	5.75e-05	0.0	0.000114956	0.003017588	46.4115	58.8952	4.5476	0.00027302	0.00083343	7.18e-05	0.0	0.00012933	69592
101	5545	4	19.0	16.0	500.0	176.0322	0.009675064	0.000404214	9.13e-05	2.61e-05	0.000365097	0.003181557	30.1893	62.1803	7.668	0.000286862	0.0022558	7.82e-05	0.0	0.0	76692
102	4480	2	16.0	10.0	100.0	58.08	0.000649169	0.000109859	4.99e-05	3.99e-05	0.000399489	0.001977469	40.934	94.1818	5.1515	0.000159795	0.00065916	7.99e-05	0.0	4.99e-05	100128
103	8941	2	18.0	24.0	730.0	64.8402	0.002321981	0.000490825	9.44e-05	0.000226535	0.000283168	0.002189836	63.687	81.3103	4.6379	0.000434192	0.00056634	0.000113267	0.0	5.66e-05	52972
105	5854	5	23.0	16.0	600.0	134.3874	0.006020117	0.000436858	4.26e-05	2.13e-05	0.000362273	0.005498018	36.2408	46.8992	3.6008	0.000308997	0.0011188	0.000106551	4.26e-05	0.00015983	93852
108	407	5	19.0	14.0	1000.0	144.6822	0.005275382	0.000309666	5.53e-05	6.64e-05	0.000165893	0.004888299	34.1769	42.6516	4.2873	0.000243309	0.002046	6.64e-05	0.0	0.0	90420
110	649	6	19.0	20.0	1400.0	172.1688	0.007783254	0.000311954	0.000109184	6.24e-05	0.000670701	0.005069254	27.6667	43.2246	4.64	0.000421138	0.0022929	0.000109184	0.0	0.0	64112
111	4704	4	25.0	4.0	100.0	94.1214	0.00140665	0.000429302	7.31e-05	0.000109609	0.000337961	0.003562294	33.2853	57.1179	4.4744	0.000191816	0.00055718	4.57e-05	0.0	1.83e-05	109480
112	5713	5	21.0	6.0	840.0	195.7626	0.011778242	0.000604925	8.3e-05	0.0	0.000296532	0.005385017	27.5232	43.4537	4.5595	0.000320254	0.0020994	8.3e-05	7.12e-05	4.74e-05	84308
114	10068	8				288.9198	0.029322446	0.001569038	0.000101228	0.0001181	0.000219328	0.005213254	23.2857	32.8026	4.754	0.000404913	0.0011304	8.44e-05	0.0	0.0	59272
115	6288	2	22.0	12.0	300.0	57.5388	0.00191422	0.000460564	0.0	4.32e-05	8.64e-05	0.001727116	50.8235	106.3667	5.9417	0.000187104	0.00060449	8.64e-05	0.0	0.0	69480
116	2319	5	22.0	12.0	500.0	103.4364	0.002978535	0.00049232	3.69e-05	0.000147696	0.000393856	0.003840095	45.4662	54.0128	4.2885	0.0003077	0.0013785	6.15e-05	0.0	0.00024616	81248
120	4846	4	23.0	20.0	450.0	95.4078	0.002180463	0.000277513	0.0	0.0	0.000515382	0.001982239	84.7347	80.4	8.12	0.000396448	0.0022201	0.000198224	0.0	0.0	25224
122	7919	3	19.0	12.0	620.0	96.867	0.001719008	0.000321686	2.01e-05	4.02e-05	0.000965057	0.002613696	38.1931	75.5231	7.4885	0.000241264	0.0016285	8.04e-05	0.000241264	0.0010857	99476
123	3305	4	16.0	4.0	120.0	111.6846	0.003642594	0.00030235	0.000143976	8.64e-05	0.000345543	0.002836328	20.2653	75.4518	6.3096	0.000388735	0.0022172	8.64e-05	0.0	0.0	69456
126	10075	8				274.6194	0.02249728	0.000707291	0.000163221	0.000163221	8.16e-05	0.004053319	20.6757	32.7785	6.9262	0.000408052	0.00062568	8.16e-05	0.0	0.0	36760
127	3090	3	24.0	28.0	360.0	189.465	0.007899934	0.000694902	0.000146295	0.0	3.66e-05	0.003785385	21.8641	49.1401	7.2657	0.000201156	0.0012618	5.49e-05	0.0	0.0	54684
129	2333	4	19.0	16.0	300.0	103.629	0.001985604	0.000443215	8.86e-06	8.86e-06	0.000522994	0.003536858	50.6633	62.7368	5.5313	0.000195015	0.0012765	6.21e-05	0.000549587	0.00076233	112812
130	7853	3	20.0	12.0	400.0	110.7282	0.002239104	7.25e-05	1.81e-05	0.000117848	0.000281021	0.0036986	56.0393	57.4804	4.8113	0.000190369	0.00089745	8.16e-05	0.000353543	6.35e-05	110312
131	435	5	19.0	10.0	700.0	129.9594	0.002072839	0.000412339	6.69e-05	8.92e-05	0.000167164	0.004446574	24.6131	54.5865	5.1504	0.000278607	0.0014265	6.69e-05	0.000267463	0.00064637	89732
136	318	5	17.0	36.0	720.0	335.499	0.035638249	0.000137356	2.86e-05	1.14e-05	0.000417792	0.004761687	24.2551	43.0048	5.7007	0.000160249	0.00056659	6.3e-05	0.0	0.0	174728
140	1530	4	16.0	14.0	400.0	92.1222	0.003468409	0.000491358	2.89e-05	0.0	0.000216776	0.003323892	48.4541	69.0435	4.2696	0.000404648	0.00093936	0.000130065	0.000158969	0.0	69196
142	1264	4	16.0	4.0	300.0	101.9502	0.00558834	0.000312947	4.47e-05	2.24e-05	0.000156474	0.002682403	51.2269	87.8	5.1	0.000245887	0.00096119	8.94e-05	0.0	0.0	44736
143	7334	4	19.0	28.0	240.0	102.4092	0.002684652	0.000458355	0.000109132	0.0	0.00030557	0.00318666	35.0897	48.0822	5.2808	0.000414702	0.00091671	0.000130959	0.0	0.00010913	45816
146	5655	3	32.0	8.0	400.0	75.0612	0.00086584	0.000706343	1.14e-05	2.28e-05	0.000307601	0.003451969	50.9934	66.2838	3.8119	0.000250638	0.0011962	6.84e-05	0.000102534	0.00013671	87776
147	796	6	23.0	28.0	1260.0	240.7638	0.022020133	0.000457561	0.000142988	8.58e-05	0.000629147	0.00400366	33.2086	66.8857	5.7857	0.000400366	0.0029456	0.00011439	0.0	0.0	34968
150	585	5	28.0	8.0	312.0	131.097	0.00270252	0.000253361	8.45e-05	1.69e-05	0.001317479	0.003648402	36.986	44.9074	5.8843	0.000287143	0.0018411	0.000118235	0.0	3.38e-05	59204
151	10090	8				314.67	0.028043136	0.001157179	0.000246208	0.000246208	0.001083317	0.004259405	14.3023	36.1156	7.1965	0.000393933	0.00078787	9.85e-05	0.0	0.0	40616
152	5911	4	21.0	20.0	450.0	84.3522	0.00243596	0.000462943	6.61e-05	4.41e-05	0.000143292	0.00370354	45.3134	57.0238	3.753	0.000242494	0.00089282	7.72e-05	9.92e-05	0.00027556	90724
153	58	3	32.0	10.0	500.0	122.8908	0.001136014	0.000327326	3.85e-05	0.0	0.001328558	0.002368299	22.6885	62.0813	9.374	0.000288817	0.0011745	7.7e-05	0.0	1.93e-05	51936
155	7913	5	23.0	30.0	2000.0	190.5432	0.010075035	0.000621149	9.94e-05	0.000472073	0.002149175	0.004931922	22.4141	41.1184	5.403	0.000372689	0.0017889	8.7e-05	0.00033542	0.0011429	80496
159	4509	6	27.0	8.0	900.0	116.0304	0.008108108	0.000638551	0.0001188	0.00010395	0.000519751	0.003519454	29.661	57.3333	4.0	0.00028215	0.001292	8.91e-05	0.0	0.00028215	67340
160	4906	5	23.0	2.0	500.0	102.2502	0.004337554	0.000507586	1.85e-05	0.000369154	0.000378382	0.004955886	36.209	48.7821	3.1099	0.000212263	0.00088597	6.46e-05	0.0	0.00010152	108356
163	7848	7	26.0	36.0	1300.0	188.5512	0.008661576	0.001387275	2.96e-05	0.000367569	0.000397211	0.005371244	23.0188	37.9249	4.8863	0.000213427	0.00052171	4.15e-05	0.000349783	0.00076478	168676
164	1839	3	24.0	8.0	700.0	81.03	0.002013609	0.000335602	8.1e-05	9.26e-05	0.000335602	0.002881544	50.8387	70.5703	4.5783	0.000277739	0.00069435	4.63e-05	0.0	0.0	86412
165	7718	5	20.0	28.0	1500.0	138.5826	0.002407764	0.000305601	2.78e-05	0.0	0.000212995	0.003463476	23.4102	61.0374	7.016	0.000250037	0.0021762	0.000101867	0.000194473	0.00046303	107984
166	8596	4	29.0	20.0	1100.0	104.415	0.001994742	0.000449682	8.07e-05	2.31e-05	0.000219076	0.003101651	34.3433	64.0149	5.7732	0.000196015	0.00066876	6.92e-05	0.0	0.0	86728
167	8408	2	20.0	10.0	600.0	81.7656	0.000220439	6.61e-05	4.41e-05	4.41e-05	2.2e-05	0.001983952	31.9101	63.4222	7.7333	0.00011022	0.00070541	8.82e-05	0.0	0.0	45364
168	3841	4	23.0	4.0	60.0	64.179	0.001053846	0.000424189	6.63e-06	0.000212095	0.000225351	0.002730719	46.0146	89.3398	4.0947	0.000165699	0.00048384	3.98e-05	0.0	0.00015244	150876
171	1477	3	22.0	20.0	150.0	69.0534	1.24e-05	0.000123781	3.71e-05	0.0	0.000148537	0.002772689	33.5426	63.6607	4.6964	0.000284696	0.00074268	6.19e-05	0.0	0.0	80788
172	975	3	19.0	14.0	900.0	91.0182	0.002963836	0.00048152	4.15e-05	1.66e-05	0.000157739	0.002847607	48.4678	71.1487	5.2187	0.000132833	0.00064756	4.98e-05	0.0	0.00059775	120452
174	7997	6	17.0	24.0	1320.0	147.9558	0.005320148	0.000203417	3.13e-05	0.000140827	0.000156475	0.003927521	28.24	47.4263	5.5458	0.00025036	0.00079802	6.26e-05	0.0	0.0	63908
176	2526	6	19.0	24.0	1000.0	132.9258	0.002836978	0.000247123	4.94e-05	0.0	0.000296548	0.004586612	24.9762	45.1207	4.9052	0.000197699	0.00075126	6.92e-05	0.0	0.0	101164
177	6524	4	32.0	12.0	2000.0	72.828	0.001078653	0.000141463	0.0	0.0	0.000159146	0.002811572	40.7848	90.0881	4.5346	0.000335974	0.00077804	0.00012378	0.0	0.0	56552
178	2518	5	19.0	20.0	730.0	136.7616	0.00300266	0.000114288	1.04e-05	0.0	0.000124678	0.003439032	22.7273	56.423	6.565	0.000187017	0.00068573	5.19e-05	0.0	0.0	96248
180	3368	6	20.0	10.0	700.0	187.1844	0.004445096	0.000659437	2.44e-05	0.0	0.000195389	0.004322978	29.881	45.2542	7.0621	0.000317507	0.0024912	7.33e-05	0.000280871	0.00032972	81888
181	4794	5	19.0	28.0	650.0	124.3494	0.002371998	4.27e-05	4.27e-05	2.14e-05	0.000235063	0.003953329	22.2391	41.6865	5.1838	0.000384648	0.00070519	8.55e-05	0.0	2.14e-05	46796
183	3321	3	20.0	16.0	200.0	65.6376	0.000711084	0.000172384	6.46e-05	5.39e-05	0.000140062	0.003393811	49.0064	77.6762	3.4698	0.00026935	0.00052793	6.46e-05	0.0	0.0	92816
184	2661	2	16.0	42.0	900.0	65.6202	0.001309497	0.000355841	4.27e-05	0.0	0.000412776	0.00334491	59.1282	71.5234	3.3957	0.000298907	0.00092519	8.54e-05	0.0	7.12e-05	70256
185	10030	8				275.8632	0.019502061	0.001449369	0.000161041	0.000305978	0.000386498	0.007568926	18.1407	24.0936	4.1723	0.000241561	0.0010307	8.05e-05	0.0	0.0	62096
186	5815	5	25.0	16.0	950.0	66.5952	0.001103435	0.000271861	1.6e-05	0.000255869	0.000127934	0.002782575	48.6916	70.2184	4.2787	0.000231881	0.0005837	6.4e-05	0.000143926	0.00028785	125064
190	6324	1	27.0	8.0	250.0	141.6282	0.00135374	0.000225623	5.64e-05	0.0	0.00019742	0.002707479	39.9024	69.6667	9.5243	0.000253826	0.00080848	6.58e-05	0.000206821	0.00062987	106372
193	8147	6	20.0	24.0	2000.0	109.3782	0.00411985	0.000444757	0.000117041	4.68e-05	9.36e-05	0.003675094	29.7436	49.6561	4.6815	0.000421348	0.00065543	9.36e-05	0.0	0.0	42720
197	7208	4	26.0	20.0	600.0	66.0696	0.001490313	0.000465723	9.31e-05	7.45e-05	5.59e-05	0.002608048	23.5683	79.4857	4.3214	0.000260805	0.00087556	7.45e-05	0.0	0.0	53680
199	7093	5	24.0	6.0	90.0	88.9284	0.001949633	0.000399437	4.76e-05	0.000361395	0.000418458	0.002995777	35.7452	68.9905	5.4381	0.000285312	0.0017214	7.61e-05	0.000266291	0.0004565	105148
201	915	3	18.0	20.0	500.0	119.8566	0.004625937	0.000412081	3.99e-05	0.0	0.000265858	0.002937736	40.5091	66.1357	6.4932	0.000345616	0.0011565	9.31e-05	0.000106343	0.00071782	75228
205	8348	3	19.0	8.0	100.0	83.682	0.0009688	0.000223569	2.48e-05	0.0	2.48e-05	0.00268283	41.1963	52.7037	5.6019	0.000521661	0.00072039	7.45e-05	0.0	0.0	40256
207	9058	5	23.0	16.0	900.0	252.1404	0.02398933	0.000488428	0.000112714	1.88e-05	0.000187857	0.005166066	34.0292	41.7455	4.4618	0.000281785	0.0012962	9.39e-05	0.0	0.0	53232
208	1285	6	20.0	20.0	2000.0	190.5678	0.01497006	0.000461406	5.13e-05	5.13e-05	0.000164055	0.003670741	35.2381	56.6034	5.757	0.000317857	0.00099459	9.23e-05	8.2e-05	0.00011279	97528
209	2214	6	16.0	28.0	700.0	229.2942	0.017934381	0.000764849	0.000105496	0.00044836	0.000158245	0.005696803	26.9023	33.9815	4.2222	0.00058023	0.0010022	0.000105496	0.0	2.64e-05	37916
210	6768	4	16.0	28.0	120.0	145.8042	0.002412572	0.000383651	3.69e-05	4.43e-05	0.000708278	0.003578279	41.6942	61.732	7.0763	0.000228715	0.00088535	5.16e-05	0.000191825	0.00055334	135540
212	604	3	21.0	10.0	200.0	68.1486	0.00163942	0.000392537	0.0	2.31e-05	2.31e-05	0.004133186	29.3034	56.9832	2.7374	0.000369447	0.00076198	9.24e-05	0.0	0.00011545	43308
213	363	1	33.0	4.0	120.0	68.6598	0.000302046	0.000322876	0.0	0.0	6.25e-05	0.002395534	48.6812	87.513	5.413	0.000239553	0.0005416	6.25e-05	0.0	0.00020831	96012
214	7086	2	18.0	10.0	65.0	71.5944	0.000630949	0.000180271	3.61e-05	3.61e-05	0.000648976	0.002758148	40.2895	89.4118	4.7451	0.00025238	0.0010636	0.00012619	0.0	0.00028843	55472
216	1771	5	22.0	20.0	650.0	108.2772	0.00385148	0.000530119	6.49e-05	1.08e-05	0.000421932	0.00419768	28.9406	51.2371	4.0335	0.000292107	0.00084386	8.66e-05	4.33e-05	0.00012983	92432
219	2341	4	19.0	4.0	200.0	75.7914	0.002749426	0.000150653	9.42e-06	6.59e-05	0.000131822	0.002683515	83.3099	74.6526	4.4596	0.000207149	0.0004143	5.65e-05	0.0	0.00025423	106204
221	336	4	23.0	4.0	415.0	59.181	0.00163768	0.000545893	3.83e-05	7.66e-05	0.000239427	0.002537925	62.5909	84.4528	3.883	0.00022985	0.00083321	7.66e-05	0.0	0.0	104416
222	3405	5	24.0	12.0	350.0	65.2284	0.000979636	0.000208775	4.82e-05	0.0	9.64e-05	0.003227982	38.48	66.8259	3.5721	0.000321192	0.00086722	0.000112417	0.0	0.00022483	62268
225	5300	5	23.0	4.0	900.0	155.0538	0.002533003	0.000441436	3.15e-05	0.000210208	0.00135584	0.003983436	22.4762	47.2507	6.723	0.00028378	0.0012507	9.46e-05	0.000115614	0.00017868	95144
230	272	4	26.0	8.0	600.0	83.2656	0.00413375	0.000344479	9.19e-05	2.3e-05	0.000252618	0.003284035	80.6761	69.5385	3.5664	0.000321514	0.00050524	0.000160757	0.0	0.00016076	43544
231	9063	4	20.0	28.0	740.0	102.8022	0.0	7.5e-05	7.5e-05	3.75e-05	0.001125619	0.002814048	19.9459	47.7867	6.92	0.000525289	0.00052529	0.000112562	0.0	0.0	26652
236	3887	3	18.0	6.0	100.0	60.6852	0.000638374	0.00015321	6.38e-05	1.28e-05	0.000434094	0.002336449	80.0	78.776	4.6066	0.000191512	0.0004724	8.94e-05	0.0	0.0	78324
237	4827	5	18.0	10.0	600.0	158.205	0.0064372	0.00051215	0.0	0.000362037	0.000300226	0.003885278	43.0524	54.9909	5.8682	0.000247245	0.0031171	6.18e-05	0.0	0.0	113248
239	423	4	22.0	10.0	700.0	83.085	0.000855174	0.000301826	6.29e-05	0.000138337	0.00064138	0.003219478	31.451	57.7344	4.6289	0.000251522	0.0011067	0.000113185	0.0	0.00050304	79516
241	3105	3	21.0	24.0	600.0	61.4232	0.002308136	0.000366195	0.0	0.000188646	0.000421679	0.002319233	50.25	94.1053	4.1053	0.000188646	0.00063252	8.88e-05	0.0	0.0	90116
243	3861	5	17.0	24.0	800.0	256.8528	0.017064791	0.000605366	6.54e-05	0.0	0.000801702	0.005055628	15.3896	34.9773	6.2298	0.000409031	0.0016688	8.18e-05	0.0	0.0	61120
